,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
0,ri bhoi,0,0,135,0,8031,0,0,1,2016
1,khasi hills,0,0,62,0,3649,0,0,3,2021
2,garo hills,0,0,35,0,2114,0,0,0,2016
3,khasi hills,0,0,24,0,1363,0,0,0,2015
4,khasi hills,0,0,119,0,9247,0,0,0,2019
5,garo hills,0,3,40,0,2350,0,0,6,2017
6,garo hills,0,1,16,0,1083,0,0,0,2016
7,khasi hills,0,1,62,0,2611,0,0,0,2020
8,garo hills,0,0,8,0,686,0,0,0,2016
9,khasi hills,0,0,43,0,3559,0,0,1,2017
10,garo hills,0,0,50,0,1864,0,0,0,2015
11,garo hills,126,51,177,9936,13748,1,1,2,2018
12,khasi hills,0,0,116,0,10800,0,0,108,2020
13,khasi hills,3,0,41,25,344,0,0,0,2014
14,garo hills,0,0,87,0,8489,0,0,62,2018
15,garo hills,0,0,23,0,1100,0,0,0,2021
16,ri bhoi,1,5,126,47,6355,0,0,2,2017
17,garo hills,0,0,76,0,7540,0,0,75,2018
18,garo hills,22,24,212,2116,21106,20,24,208,2019
19,garo hills,0,12,166,0,10471,0,0,0,2021
20,ri bhoi,0,1,109,0,6339,0,0,0,2019
21,garo hills,0,0,124,0,10065,0,0,1,2019
22,garo hills,0,1,71,0,6890,0,1,62,2018
23,khasi hills,0,0,119,0,7610,0,0,0,2020
24,khasi hills,0,0,31,0,2554,0,0,0,2016
25,ri bhoi,0,0,86,0,2966,0,0,0,2016
26,garo hills,39,0,140,3547,12761,0,0,0,2021
27,garo hills,0,0,59,0,5564,0,0,0,2017
28,garo hills,0,1,31,0,2600,0,1,26,2020
29,khasi hills,0,0,94,0,0,0,0,0,2014
30,garo hills,0,0,90,0,1437,0,0,0,2019
31,garo hills,0,0,24,0,1098,0,0,0,2014
32,ri bhoi,0,1,130,0,10287,0,0,64,2020
33,garo hills,0,4,112,0,5154,0,0,0,2014
34,garo hills,0,0,67,0,6510,0,0,63,2021
35,garo hills,0,0,34,0,1573,0,0,0,2014
36,khasi hills,0,0,26,0,0,0,0,0,2016
37,ri bhoi,0,5,303,0,3862,0,0,0,2014
38,garo hills,0,1,29,0,0,0,0,0,2014
39,khasi hills,0,0,17,0,1600,0,0,16,2020
40,jaintia hills,0,0,196,0,12498,0,0,0,2017
41,khasi hills,0,0,171,0,5600,0,0,0,2019
42,garo hills,0,1,61,0,4300,0,0,0,2015
43,jaintia hills,0,0,20,0,1870,0,0,15,2018
44,ri bhoi,0,0,23,0,0,0,0,0,2014
45,khasi hills,0,0,170,0,8785,0,0,1,2019
46,garo hills,0,0,89,0,6084,0,0,39,2018
47,khasi hills,0,0,260,0,10535,0,0,0,2020
48,garo hills,0,2,34,0,2595,0,0,0,2018
49,garo hills,0,4,69,0,6600,0,4,66,2021
50,khasi hills,0,0,84,0,1408,0,0,0,2017
51,khasi hills,0,0,85,0,8300,0,0,83,2020
52,khasi hills,0,0,173,0,4497,0,0,0,2019
53,garo hills,0,0,46,0,0,0,0,0,2014
54,khasi hills,0,0,92,0,3250,0,0,0,2018
55,khasi hills,0,0,91,0,0,0,0,0,2014
56,khasi hills,0,0,37,0,1712,0,0,0,2017
57,jaintia hills,0,0,289,0,13152,0,0,0,2021
58,ri bhoi,0,1,34,0,2842,0,0,0,2016
59,garo hills,1,151,152,16,2384,0,0,0,2014
60,khasi hills,0,2,136,0,13431,0,0,122,2021
61,garo hills,0,0,51,0,4794,0,0,42,2017
62,khasi hills,0,0,84,0,7982,0,0,69,2020
63,jaintia hills,0,0,183,0,6760,0,0,0,2015
64,garo hills,0,33,60,0,5845,0,9,15,2021
65,garo hills,0,0,47,0,4200,0,0,0,2015
66,garo hills,0,0,62,0,6094,0,0,44,2021
67,jaintia hills,0,0,44,0,3484,0,0,14,2018
68,garo hills,0,0,74,0,5844,0,0,0,2016
69,garo hills,0,0,42,0,1410,0,0,0,2014
70,ri bhoi,12,16,267,204,3744,0,8,138,2015
71,khasi hills,0,0,67,0,3368,0,0,0,2019
72,garo hills,0,14,127,0,11417,0,3,61,2017
73,garo hills,0,0,103,0,9525,0,0,0,2015
74,garo hills,0,1,42,0,3198,0,1,6,2016
75,khasi hills,0,0,66,0,0,0,0,0,2016
76,garo hills,0,0,86,0,4200,0,0,0,2014
77,garo hills,0,0,43,0,1831,0,0,0,2015
78,garo hills,0,3,150,0,14788,0,3,147,2019
79,khasi hills,0,0,0,0,0,0,0,0,2020
80,khasi hills,0,0,74,0,1518,0,0,0,2015
81,garo hills,0,0,26,0,2271,0,0,22,2021
82,khasi hills,0,0,43,0,2842,0,0,3,2016
83,jaintia hills,1,3,196,75,14849,0,0,20,2021
84,garo hills,0,188,188,0,13806,0,0,0,2016
85,garo hills,1,0,121,0,0,0,0,0,2015
86,jaintia hills,0,2,81,0,1788,0,0,0,2015
87,khasi hills,0,0,78,0,2652,0,0,0,2017
88,garo hills,0,2,65,0,4072,0,0,18,2018
89,ri bhoi,1,55,383,59,29200,0,5,23,2019
90,khasi hills,0,2,90,0,4496,0,0,2,2020
91,khasi hills,0,0,27,0,108,0,0,38,2014
92,khasi hills,0,0,140,0,7050,0,0,0,2014
93,garo hills,0,2,87,0,5623,0,0,0,2015
94,jaintia hills,0,0,185,0,4999,0,0,0,2014
95,garo hills,0,0,48,0,96,0,0,0,2021
96,garo hills,0,0,24,0,2345,0,0,23,2016
97,garo hills,0,3,93,0,8400,0,1,80,2021
98,garo hills,0,1,172,0,12535,0,0,0,2019
99,garo hills,1,0,80,90,6290,0,0,0,2015
100,garo hills,0,33,60,0,5800,0,0,0,2020
101,garo hills,0,0,93,0,6900,0,0,69,2018
102,khasi hills,0,0,49,0,4238,0,0,22,2021
103,garo hills,0,5,65,0,6500,0,5,65,2018
104,ri bhoi,0,1,140,0,720,0,0,0,2015
105,khasi hills,0,0,49,0,3723,0,0,33,2019
106,garo hills,0,1,80,0,7000,0,1,70,2020
107,khasi hills,0,0,57,0,1710,0,0,0,2018
108,khasi hills,0,0,145,0,4394,0,0,0,2020
109,garo hills,0,0,66,0,5900,0,0,59,2017
110,garo hills,2,1,92,194,8312,0,0,49,2019
111,garo hills,0,0,40,0,4000,0,0,40,2018
112,jaintia hills,0,0,57,0,3542,0,0,0,2019
113,garo hills,0,0,91,0,8746,0,0,86,2020
114,khasi hills,0,0,42,0,1614,0,0,2,2017
115,khasi hills,0,0,7,0,0,0,0,0,2015
116,garo hills,0,0,80,0,3955,0,0,9,2015
117,garo hills,11,1,118,417,4521,0,0,0,2018
118,khasi hills,0,0,38,0,132,0,0,0,2020
119,garo hills,0,0,89,0,5950,0,0,22,2015
120,khasi hills,0,1,79,0,6308,0,0,0,2020
121,garo hills,0,4,107,0,10674,0,4,105,2018
122,garo hills,0,2,58,0,5200,0,1,48,2017
123,khasi hills,0,0,9,0,472,0,0,0,2020
124,khasi hills,0,0,76,0,421,0,0,0,2021
125,garo hills,0,0,88,0,6412,0,0,0,2017
126,garo hills,0,0,113,0,9590,0,0,74,2021
127,khasi hills,0,0,124,0,2300,0,0,0,2014
128,garo hills,1,0,88,83,7300,0,0,0,2019
129,ri bhoi,0,0,79,0,2753,0,0,3,2019
130,garo hills,0,1,53,0,3597,0,0,0,2017
131,khasi hills,0,0,39,0,0,0,0,0,2017
132,khasi hills,0,0,32,0,3002,0,0,25,2019
133,khasi hills,0,0,14,0,0,0,0,0,2016
134,garo hills,0,1,33,0,2550,0,0,0,2017
135,garo hills,0,1,90,0,5782,0,0,2,2019
136,garo hills,0,1,20,0,1903,0,0,0,2015
137,khasi hills,0,0,65,0,6428,0,0,59,2020
138,garo hills,0,3,110,0,11000,0,3,110,2018
139,jaintia hills,0,2,280,0,16094,0,0,0,2020
140,khasi hills,0,0,126,0,9736,0,0,25,2018
141,khasi hills,0,0,207,0,20022,0,0,192,2020
142,garo hills,0,4,19,0,1500,0,3,14,2017
143,garo hills,0,0,47,0,2820,0,0,0,2016
144,garo hills,0,0,54,0,5205,0,0,52,2021
145,garo hills,0,1,78,0,4166,0,0,0,2017
146,khasi hills,0,0,47,0,4679,0,0,45,2019
147,khasi hills,0,0,47,0,3886,0,0,25,2019
148,garo hills,0,0,11,0,418,0,0,0,2014
149,garo hills,0,234,234,0,4510,0,0,0,2016
150,khasi hills,0,0,125,0,6695,0,0,4,2018
151,jaintia hills,0,4,250,0,682,0,0,0,2014
152,khasi hills,0,0,141,0,9096,0,0,6,2020
153,ri bhoi,0,0,22,0,312,0,0,0,2016
154,garo hills,0,1,43,0,3120,0,0,0,2018
155,khasi hills,0,0,45,0,240,0,0,0,2016
156,khasi hills,0,0,17,0,264,0,0,0,2021
157,garo hills,0,0,113,0,3077,0,0,0,2019
158,jaintia hills,0,0,62,0,2793,0,0,0,2014
159,garo hills,0,0,114,0,2848,0,0,0,2019
160,garo hills,0,0,42,0,3864,0,0,37,2019
161,ri bhoi,0,1,99,0,1416,0,0,0,2017
162,khasi hills,0,0,49,0,0,0,0,0,2017
163,garo hills,0,1,81,0,7884,0,1,78,2020
164,garo hills,0,0,63,0,5796,0,0,0,2014
165,khasi hills,0,6,110,0,0,0,0,0,2016
166,khasi hills,0,0,116,0,8764,0,0,56,2018
167,jaintia hills,0,0,39,0,760,0,0,0,2014
168,khasi hills,0,0,45,0,4428,0,0,35,2019
169,khasi hills,0,0,31,0,711,0,0,0,2019
170,ri bhoi,1,0,68,0,0,0,0,0,2018
171,garo hills,0,1,130,0,8376,0,0,0,2019
172,garo hills,0,0,98,0,4998,0,0,0,2017
173,ri bhoi,0,0,60,0,4320,0,0,0,2015
174,garo hills,0,0,80,0,5600,0,0,56,2017
175,garo hills,0,18,69,0,6700,0,18,67,2020
176,garo hills,1,1,186,100,18100,1,1,181,2021
177,garo hills,0,0,23,0,1901,0,0,0,2015
178,khasi hills,0,0,33,0,0,0,0,0,2019
179,khasi hills,0,0,59,0,3207,0,0,0,2017
180,khasi hills,1,7,317,80,22209,0,0,0,2014
181,garo hills,0,0,36,0,3000,0,0,30,2020
182,khasi hills,0,0,75,0,7276,0,0,71,2019
183,khasi hills,0,0,81,0,8000,0,0,80,2019
184,khasi hills,0,0,50,0,4747,0,0,35,2018
185,garo hills,0,1,67,0,5378,0,1,52,2021
186,ri bhoi,0,0,57,0,3280,0,0,0,2016
187,khasi hills,0,0,35,0,3353,0,0,28,2019
188,garo hills,1,2,68,60,3900,0,0,0,2019
189,khasi hills,0,0,48,0,3468,0,0,14,2021
190,khasi hills,0,0,114,0,9531,0,0,28,2016
191,garo hills,0,0,30,0,3000,0,0,30,2018
192,ri bhoi,0,0,29,0,1822,0,0,3,2020
193,jaintia hills,0,0,80,0,0,0,0,0,2021
194,garo hills,0,0,73,0,7300,0,0,0,2014
195,garo hills,0,141,141,0,4480,0,0,0,2014
196,jaintia hills,0,0,447,0,19122,0,0,35,2021
197,khasi hills,0,0,33,0,0,0,0,0,2014
198,garo hills,0,1,58,0,4205,0,0,0,2016
199,khasi hills,0,0,24,0,2276,0,0,18,2016
200,garo hills,0,1,31,0,2842,0,0,27,2020
201,khasi hills,0,3,77,0,3416,0,0,0,2021
202,khasi hills,0,0,108,0,0,0,0,0,2014
203,garo hills,0,0,113,0,9975,0,0,0,2017
204,garo hills,0,2,21,0,2100,0,2,16,2019
205,khasi hills,0,0,107,0,4673,0,0,1,2015
206,khasi hills,0,0,45,0,3390,0,0,0,2017
207,khasi hills,1,0,41,82,3265,0,0,0,2019
208,garo hills,0,0,37,0,2900,0,0,29,2020
209,garo hills,0,2,32,0,3200,0,2,32,2018
210,khasi hills,0,0,56,0,2686,0,0,0,2017
211,garo hills,0,1,26,0,2568,0,1,24,2020
212,khasi hills,0,0,228,0,4578,0,0,2,2021
213,jaintia hills,0,0,156,0,13871,0,0,57,2016
214,ri bhoi,0,1,24,0,0,0,0,0,2015
215,garo hills,0,1,28,0,1440,0,0,0,2020
216,khasi hills,1,0,42,91,3779,0,0,6,2018
217,garo hills,0,2,22,0,1200,0,0,12,2016
218,garo hills,0,0,26,0,2400,0,0,0,2015
219,garo hills,0,2,63,0,6300,0,2,63,2018
220,khasi hills,0,0,15,0,1122,0,0,7,2021
221,garo hills,0,0,80,0,3473,0,0,0,2014
222,garo hills,0,1,89,0,8976,0,1,80,2014
223,khasi hills,0,0,0,0,0,0,0,0,2014
224,garo hills,0,1,66,0,3840,0,0,0,2015
225,garo hills,0,1,55,0,4800,0,1,48,2021
226,garo hills,0,2,56,0,4050,0,0,0,2017
227,garo hills,0,0,30,0,2968,0,0,26,2021
228,ri bhoi,0,0,95,0,2640,0,0,0,2015
229,garo hills,0,0,101,0,9764,0,0,95,2021
230,garo hills,0,0,74,0,7227,0,0,0,2017
231,garo hills,0,1,44,0,3212,0,0,0,2021
232,garo hills,0,36,36,0,1476,0,0,0,2015
233,garo hills,0,1,84,0,3500,0,0,0,2014
234,garo hills,0,0,55,0,2491,0,0,0,2017
235,garo hills,0,2,198,0,18412,0,2,170,2019
236,garo hills,0,0,74,0,6400,0,0,64,2019
237,khasi hills,0,0,183,0,5850,0,0,0,2016
238,khasi hills,0,0,132,0,995,0,0,0,2015
239,jaintia hills,0,2,338,0,13233,0,0,0,2021
240,khasi hills,0,0,131,0,8846,0,0,0,2020
241,jaintia hills,0,0,22,0,420,0,0,0,2020
242,garo hills,0,0,75,0,3512,0,0,0,2019
243,garo hills,0,1,73,0,6800,0,1,68,2019
244,khasi hills,0,0,0,0,0,0,0,0,2017
245,khasi hills,0,0,66,0,6288,0,0,41,2018
246,garo hills,0,0,24,0,2330,0,0,22,2021
247,khasi hills,0,3,224,0,20044,0,3,141,2020
248,garo hills,0,1,131,0,12314,0,1,123,2019
249,garo hills,0,2,66,0,6600,0,2,66,2020
250,garo hills,0,1,32,0,1584,0,0,0,2015
251,khasi hills,0,0,143,0,1500,0,0,0,2015
252,garo hills,0,0,52,0,5200,0,0,52,2019
253,khasi hills,0,0,82,0,5943,0,0,0,2021
254,garo hills,0,0,66,0,6558,0,0,65,2017
255,khasi hills,0,0,32,0,1800,0,0,0,2017
256,khasi hills,0,0,95,0,2791,0,0,0,2017
257,garo hills,0,4,242,0,13420,0,2,46,2021
258,khasi hills,0,0,44,0,2317,0,0,0,2019
259,garo hills,0,1,53,0,3900,0,0,0,2015
260,garo hills,0,0,37,0,3700,0,0,37,2019
261,garo hills,0,0,100,0,9749,0,0,93,2019
262,ri bhoi,0,3,102,0,4504,0,0,0,2017
263,garo hills,0,0,13,0,520,0,0,0,2019
264,garo hills,0,1,46,0,4600,0,1,46,2019
265,garo hills,0,0,32,0,1839,0,0,0,2015
266,khasi hills,0,0,0,0,0,0,0,0,2014
267,garo hills,1,1,100,3,5140,0,0,0,2018
268,jaintia hills,0,0,34,0,1254,0,0,0,2020
269,garo hills,0,0,0,0,0,0,0,0,2014
270,jaintia hills,0,1,467,0,13353,0,0,0,2021
271,garo hills,0,0,33,0,3236,0,0,0,2018
272,garo hills,3,0,120,200,10874,2,0,106,2018
273,garo hills,0,0,43,0,3741,0,0,160,2015
274,khasi hills,0,2,78,0,5549,0,1,2,2020
275,khasi hills,0,0,24,0,2300,0,0,23,2019
276,jaintia hills,0,0,123,0,7259,0,0,8,2020
277,garo hills,0,0,53,0,4272,0,0,0,2015
278,garo hills,0,1,51,0,3450,0,0,0,2015
279,khasi hills,1,0,97,56,4532,0,0,0,2017
280,garo hills,0,0,93,0,1800,0,0,0,2019
281,khasi hills,0,0,71,0,2919,0,0,0,2016
282,ri bhoi,0,0,106,0,2329,0,0,0,2019
283,khasi hills,0,0,129,0,12748,0,0,87,2017
284,garo hills,0,2,42,0,2800,0,1,28,2019
285,garo hills,0,5,39,0,3234,0,0,0,2017
286,khasi hills,0,0,55,0,5089,0,0,5,2020
287,khasi hills,0,0,31,0,2918,0,0,0,2021
288,khasi hills,0,0,53,0,4428,0,0,5,2016
289,khasi hills,0,0,76,0,499,0,0,0,2021
290,garo hills,0,1,60,0,6000,0,1,60,2018
291,garo hills,0,1,56,0,2168,0,0,0,2019
292,khasi hills,0,0,148,0,9094,0,0,88,2016
293,garo hills,0,0,25,0,2125,0,0,0,2016
294,garo hills,0,2,60,0,5898,0,2,58,2017
295,garo hills,0,0,43,0,4200,0,0,42,2019
296,garo hills,0,5,49,0,4500,0,4,43,2020
297,ri bhoi,12,16,261,216,9111,0,0,8,2017
298,khasi hills,0,0,28,0,2570,0,0,18,2021
299,garo hills,0,0,123,0,8701,0,0,0,2020
300,jaintia hills,6,0,115,500,10816,1,0,93,2016
301,garo hills,0,0,46,0,4585,0,0,43,2018
302,garo hills,0,1,56,0,5300,0,1,53,2020
303,ri bhoi,4,12,47,248,3120,1,0,5,2020
304,garo hills,0,0,47,0,4500,0,0,45,2021
305,garo hills,0,0,41,0,2520,0,0,0,2018
306,khasi hills,0,0,72,0,6828,0,0,68,2018
307,garo hills,0,5,43,0,4100,0,0,0,2015
308,ri bhoi,0,0,139,0,1170,0,0,0,2016
309,jaintia hills,0,1,410,0,16807,0,0,0,2016
310,garo hills,0,1,52,0,5200,0,1,52,2021
311,khasi hills,1,0,193,100,17699,1,0,176,2020
312,garo hills,0,0,64,0,1738,0,0,0,2014
313,khasi hills,0,2,111,0,6059,0,0,0,2019
314,garo hills,1,0,98,72,6292,0,0,0,2015
315,khasi hills,0,0,52,0,4892,0,0,0,2014
316,garo hills,0,1,47,0,4670,0,0,17,2017
317,khasi hills,0,0,38,0,3400,0,0,34,2020
318,garo hills,0,1,73,0,7300,0,1,73,2021
319,garo hills,0,0,65,0,2257,0,0,0,2020
320,khasi hills,0,7,171,0,16000,0,0,0,2019
321,khasi hills,0,0,50,0,2666,0,0,0,2018
322,garo hills,0,1,59,0,5900,0,1,59,2020
323,garo hills,0,1,52,0,5200,0,1,52,2017
324,garo hills,0,10,173,0,16569,0,0,0,2018
325,garo hills,0,0,116,0,9253,0,0,0,2018
326,khasi hills,0,0,25,0,1406,0,0,0,2016
327,garo hills,0,1,86,0,7380,0,1,70,2020
328,ri bhoi,0,0,104,0,9386,0,0,81,2020
329,garo hills,0,1,88,0,2324,0,0,0,2015
330,khasi hills,0,0,115,0,7077,0,0,3,2020
331,garo hills,0,0,47,0,3150,0,0,0,2021
332,garo hills,0,0,22,0,2156,0,0,0,2021
333,khasi hills,0,0,147,0,9865,0,0,0,2021
334,garo hills,0,0,56,0,5212,0,0,47,2021
335,khasi hills,0,0,88,0,6103,0,0,0,2021
336,khasi hills,0,0,52,0,2244,0,0,0,2016
337,garo hills,0,4,49,0,1369,0,0,0,2020
338,garo hills,0,0,43,0,1770,0,0,0,2019
339,garo hills,0,4,144,0,12794,0,0,0,2021
340,garo hills,0,9,124,0,9170,0,0,0,2015
341,garo hills,0,1,28,0,2694,0,1,26,2021
342,garo hills,0,0,69,0,6446,0,0,0,2014
343,garo hills,0,3,61,0,6008,0,3,49,2020
344,garo hills,0,0,23,0,2300,0,0,23,2016
345,ri bhoi,0,0,38,0,3656,0,0,35,2017
346,jaintia hills,0,0,502,0,6475,0,0,0,2014
347,garo hills,0,0,33,0,2724,0,0,0,2016
348,khasi hills,0,7,150,0,6454,0,0,0,2019
349,khasi hills,0,0,43,0,4187,0,0,36,2020
350,khasi hills,0,0,69,0,6680,0,0,56,2021
351,garo hills,12,1,58,924,3906,0,0,0,2018
352,garo hills,0,0,100,0,8408,0,0,0,2016
353,khasi hills,0,0,177,0,3759,0,0,0,2020
354,khasi hills,0,4,190,0,13482,0,0,6,2016
355,khasi hills,0,0,32,0,643,0,0,0,2015
356,garo hills,0,1,55,0,3050,1,0,33,2015
357,khasi hills,0,0,111,0,5738,0,0,0,2017
358,khasi hills,0,0,31,0,1271,0,0,0,2017
359,garo hills,1,1,26,0,2200,0,0,22,2017
360,jaintia hills,0,0,136,0,5000,0,0,0,2015
361,ri bhoi,0,2,57,0,2832,0,0,0,2014
362,khasi hills,0,0,80,0,4450,0,0,0,2016
363,khasi hills,0,0,346,0,34500,0,0,0,2015
364,garo hills,0,1,34,0,1280,0,0,0,2017
365,jaintia hills,0,0,354,0,0,0,0,0,2016
366,khasi hills,0,0,44,0,0,0,0,0,2014
367,garo hills,0,0,58,0,3214,0,0,25,2021
368,jaintia hills,0,0,66,0,1925,0,0,0,2015
369,garo hills,0,0,30,0,3000,0,0,30,2018
370,khasi hills,0,2,357,0,19490,0,0,0,2019
371,garo hills,0,1,63,0,833,0,0,0,2021
372,garo hills,0,0,49,0,4970,0,0,49,2018
373,garo hills,0,1,75,0,2010,0,0,0,2014
374,garo hills,0,1,48,0,2288,0,0,0,2016
375,khasi hills,0,0,28,0,1658,0,0,0,2019
376,garo hills,0,8,76,0,3432,0,0,0,2014
377,ri bhoi,0,0,135,0,3252,0,0,1,2019
378,khasi hills,0,0,62,0,1944,0,0,0,2016
379,khasi hills,0,0,37,0,3081,0,0,30,2021
380,garo hills,0,0,22,0,1900,0,0,19,2017
381,garo hills,0,1,88,0,8550,0,1,84,2018
382,jaintia hills,0,0,28,0,0,0,0,0,2014
383,garo hills,0,48,48,0,1260,0,0,0,2014
384,khasi hills,0,0,30,0,1700,0,0,0,2018
385,garo hills,0,3,78,0,6435,0,2,126,2015
386,garo hills,0,324,324,0,9018,0,0,0,2014
387,khasi hills,0,0,49,0,3149,0,0,0,2018
388,khasi hills,0,0,21,0,0,0,0,0,2015
389,garo hills,0,323,323,0,6787,0,0,0,2015
390,khasi hills,0,0,61,0,0,0,0,0,2014
391,khasi hills,0,0,53,0,5100,0,0,51,2021
392,garo hills,0,0,7,0,700,0,0,7,2021
393,garo hills,0,2,34,0,2500,0,0,0,2015
394,garo hills,0,0,0,0,0,0,0,0,2019
395,khasi hills,0,1,75,0,6370,0,0,18,2018
396,jaintia hills,0,0,198,0,12163,0,0,0,2016
397,khasi hills,0,0,88,0,0,0,0,0,2014
398,garo hills,0,1,63,0,2835,0,0,0,2015
399,khasi hills,0,0,77,0,6404,0,0,45,2021
400,garo hills,0,1,108,0,6242,0,0,0,2019
401,khasi hills,0,0,254,0,6551,0,0,0,2018
402,jaintia hills,0,0,66,0,1092,0,0,0,2015
403,garo hills,0,0,72,0,3255,0,11,78,2015
404,ri bhoi,0,4,104,0,2000,0,0,0,2016
405,garo hills,0,0,39,0,3783,0,0,0,2019
406,jaintia hills,0,0,137,0,0,0,0,0,2017
407,jaintia hills,0,4,236,0,3234,0,0,0,2014
408,khasi hills,0,0,84,0,0,0,0,0,2015
409,garo hills,0,0,105,0,5040,0,0,0,2014
410,garo hills,0,0,33,0,2160,0,0,0,2014
411,ri bhoi,0,0,105,0,7329,0,0,6,2020
412,garo hills,0,2,45,0,3332,0,0,0,2015
413,garo hills,0,0,53,0,5300,0,0,53,2019
414,khasi hills,0,0,39,0,2837,0,0,0,2017
415,garo hills,0,1,35,0,2100,0,0,0,2015
416,garo hills,0,0,56,0,3744,0,0,35,2021
417,jaintia hills,0,0,224,0,17682,0,0,0,2014
418,khasi hills,0,0,29,0,70,0,0,0,2019
419,garo hills,0,0,43,0,2989,0,0,1,2018
420,khasi hills,0,0,19,0,1594,0,0,3,2018
421,garo hills,0,111,113,0,5577,0,0,0,2019
422,ri bhoi,0,0,66,0,2640,0,0,0,2018
423,ri bhoi,0,2,82,0,6979,0,0,0,2016
424,khasi hills,0,0,59,0,2000,0,0,0,2015
425,khasi hills,0,1,329,0,32124,0,1,313,2021
426,khasi hills,0,0,60,0,6000,0,0,0,2015
427,garo hills,0,0,21,0,1764,0,0,0,2016
428,jaintia hills,0,0,16,0,0,0,0,0,2016
429,ri bhoi,0,0,16,0,204,0,0,0,2014
430,garo hills,0,0,62,0,3290,0,0,0,2016
431,jaintia hills,0,0,28,0,0,0,0,0,2014
432,ri bhoi,0,0,0,0,0,0,0,0,2016
433,ri bhoi,0,0,154,0,12850,0,0,83,2020
434,khasi hills,0,0,19,0,0,0,0,0,2015
435,jaintia hills,0,0,78,0,246,0,0,0,2017
436,khasi hills,0,0,47,0,2671,0,0,0,2017
437,jaintia hills,0,1,226,0,10567,0,0,0,2021
438,khasi hills,0,0,56,0,3044,0,0,0,2020
439,garo hills,0,1,51,0,1530,0,0,0,2014
440,garo hills,0,1,68,0,6700,0,1,67,2021
441,khasi hills,0,0,56,0,4926,0,0,43,2020
442,garo hills,0,14,181,0,7847,0,0,13,2021
443,garo hills,0,0,45,0,4300,0,0,43,2021
444,khasi hills,0,0,123,0,7128,0,0,6,2018
445,garo hills,0,0,89,0,8790,0,0,81,2021
446,khasi hills,0,0,40,0,2332,0,0,0,2014
447,garo hills,0,0,40,0,2500,0,0,25,2019
448,khasi hills,0,0,128,0,1961,0,0,0,2014
449,garo hills,0,0,30,0,2876,0,0,26,2019
450,khasi hills,0,0,144,0,14323,0,0,137,2021
451,garo hills,0,0,63,0,5295,0,0,30,2019
452,garo hills,0,0,62,0,5332,0,0,0,2017
453,garo hills,0,3,83,0,8462,0,3,83,2018
454,garo hills,0,1,45,0,2385,0,0,0,2015
455,khasi hills,0,0,52,0,665,0,0,0,2020
456,khasi hills,0,0,37,0,1213,0,0,0,2019
457,ri bhoi,0,0,34,0,1364,0,0,0,2014
458,jaintia hills,0,0,276,0,0,0,0,0,2017
459,khasi hills,0,0,25,0,2222,0,0,14,2018
460,ri bhoi,0,1,117,0,8946,0,0,0,2015
461,ri bhoi,0,0,56,0,2464,0,0,0,2017
462,jaintia hills,0,1,337,0,10367,0,0,0,2017
463,khasi hills,0,0,91,0,4314,0,0,9,2019
464,khasi hills,0,0,39,0,1712,0,0,1,2021
465,khasi hills,0,0,15,0,1400,0,0,14,2017
466,garo hills,0,0,80,0,8000,0,0,176,2014
467,khasi hills,0,2,80,0,565,0,0,0,2014
468,garo hills,0,0,41,0,3792,0,0,30,2017
469,garo hills,0,0,59,0,1770,0,0,0,2014
470,garo hills,0,0,36,0,889,0,0,0,2015
471,garo hills,1,13,67,0,0,0,0,0,2017
472,garo hills,0,2,135,0,13262,0,1,98,2017
473,khasi hills,0,0,218,0,3306,0,0,0,2015
474,garo hills,0,0,19,0,1840,0,0,17,2019
475,khasi hills,0,0,137,0,1165,0,0,0,2017
476,garo hills,0,0,103,0,6291,0,0,1,2020
477,khasi hills,0,0,83,0,6929,0,0,4,2020
478,garo hills,0,0,87,0,5226,0,0,0,2015
479,jaintia hills,0,0,53,0,1380,0,0,0,2017
480,garo hills,0,0,35,0,2660,0,0,0,2018
481,garo hills,0,3,42,0,3700,0,9,88,2015
482,garo hills,0,2,220,0,6560,0,0,0,2017
483,garo hills,0,0,44,0,4385,0,0,5,2016
484,ri bhoi,24,14,147,539,4719,0,0,1,2020
485,garo hills,0,3,92,0,7098,0,0,0,2016
486,jaintia hills,0,0,775,0,20041,0,0,0,2019
487,ri bhoi,0,19,48,0,1137,0,0,0,2018
488,garo hills,0,0,31,0,2820,0,0,26,2021
489,jaintia hills,0,0,92,0,2468,0,0,0,2016
490,khasi hills,0,0,190,0,14998,0,0,0,2015
491,ri bhoi,0,0,129,0,2400,0,0,0,2014
492,garo hills,5,4,322,409,27511,2,0,116,2019
493,khasi hills,0,0,48,0,3118,0,0,8,2018
494,garo hills,0,0,24,0,2300,0,0,23,2021
495,garo hills,0,0,30,0,3000,0,0,30,2021
496,garo hills,0,0,46,0,4149,0,0,5,2021
497,garo hills,0,1,35,0,3100,0,6,103,2014
498,garo hills,0,2,138,0,11130,0,1,105,2019
499,garo hills,0,1,46,0,1778,0,0,0,2014
500,garo hills,17,27,256,1258,17142,0,0,0,2017
501,garo hills,0,0,56,0,3528,0,0,0,2015
502,khasi hills,0,0,22,0,1930,0,0,13,2018
