,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
31579,ri bhoi,1,6,191,24,5600,0,0,0,2014
31580,garo hills,0,0,238,0,16416,0,0,32,2021
31581,garo hills,0,0,29,0,2870,0,0,28,2021
31582,ri bhoi,0,2,76,0,0,0,0,0,2018
31583,garo hills,0,0,107,0,10499,0,0,104,2019
31584,jaintia hills,0,0,80,0,4494,0,0,0,2021
31585,jaintia hills,0,0,71,0,1459,0,0,0,2021
31586,garo hills,0,3,144,0,9268,0,0,0,2016
31587,garo hills,0,1,76,0,3842,0,0,0,2014
31588,ri bhoi,0,0,69,0,0,0,0,0,2014
31589,khasi hills,0,0,46,0,1344,0,0,0,2014
31590,ri bhoi,0,1,199,0,6829,0,0,0,2019
31591,garo hills,1,3,190,97,12098,0,0,0,2018
31592,khasi hills,0,0,32,0,1708,0,0,0,2019
31593,jaintia hills,0,1,62,0,4202,0,0,18,2019
31594,khasi hills,0,0,285,0,11959,0,0,5,2019
31595,khasi hills,0,0,99,0,2184,0,0,0,2016
31596,garo hills,0,11,185,0,12885,0,0,0,2019
31597,garo hills,0,2,89,0,3608,0,0,0,2014
31598,ri bhoi,0,3,154,0,1838,0,0,0,2016
31599,garo hills,0,11,79,0,5384,0,0,0,2016
31600,ri bhoi,0,0,143,0,2682,0,0,0,2021
31601,khasi hills,0,0,82,0,5774,0,0,2,2019
31602,garo hills,0,1,75,0,2432,0,0,0,2014
31603,ri bhoi,0,0,113,0,0,0,0,0,2016
31604,ri bhoi,0,2,45,0,0,0,0,0,2021
31605,ri bhoi,0,1,33,0,0,0,0,0,2015
31606,garo hills,0,1,63,0,4841,0,1,47,2021
31607,khasi hills,0,2,58,0,4914,0,0,0,2019
31608,jaintia hills,0,0,32,0,2154,0,0,0,2017
31609,garo hills,0,0,57,0,2857,0,0,0,2017
31610,garo hills,0,1,160,0,13855,0,0,83,2021
31611,garo hills,0,5,128,0,7179,0,3,68,2018
31612,khasi hills,0,0,32,0,2644,0,0,5,2016
31613,garo hills,0,4,77,0,7356,0,4,72,2021
31614,garo hills,0,319,319,0,14160,0,0,0,2015
31615,ri bhoi,0,0,29,0,1920,0,0,0,2016
31616,ri bhoi,0,0,39,0,2691,0,0,0,2014
31617,ri bhoi,0,1,20,0,0,0,0,0,2016
31618,garo hills,0,0,35,0,3500,0,0,35,2016
31619,ri bhoi,11,166,346,252,6456,0,0,0,2020
31620,garo hills,0,1,73,0,1708,0,0,0,2015
31621,khasi hills,0,0,54,0,4735,0,0,46,2018
31622,garo hills,0,0,45,0,1759,0,0,0,2014
31623,garo hills,0,0,29,0,2175,0,0,0,2016
31624,garo hills,0,0,61,0,4451,0,0,0,2021
31625,khasi hills,0,0,30,0,686,0,0,0,2021
31626,garo hills,0,1,69,0,5802,0,0,0,2018
31627,ri bhoi,0,1,105,0,0,0,0,0,2015
31628,garo hills,0,0,63,0,2003,0,0,0,2014
31629,ri bhoi,0,0,232,0,0,0,0,0,2015
31630,khasi hills,0,0,87,0,5628,0,0,0,2018
31631,jaintia hills,1,6,330,14,8908,0,0,0,2021
31632,khasi hills,0,0,38,0,3543,0,0,9,2017
31633,garo hills,0,0,72,0,5120,0,0,0,2016
31634,khasi hills,0,0,82,0,0,0,0,0,2015
31635,khasi hills,0,0,25,0,1632,0,0,0,2014
31636,khasi hills,0,0,169,0,0,0,0,0,2016
31637,ri bhoi,0,7,143,0,4644,0,0,0,2020
31638,garo hills,0,0,25,0,2500,0,0,25,2018
31639,garo hills,0,0,75,0,5893,0,0,0,2017
31640,khasi hills,0,0,38,0,2824,0,0,19,2014
31641,ri bhoi,0,0,21,0,0,0,0,0,2015
31642,garo hills,0,236,236,0,11692,0,0,0,2016
31643,khasi hills,0,0,12,0,1067,0,0,6,2019
31644,khasi hills,0,0,59,0,3600,0,0,0,2017
31645,garo hills,0,0,14,0,1401,0,0,14,2017
31646,ri bhoi,0,0,95,0,1763,0,0,0,2016
31647,garo hills,0,0,26,0,2574,0,0,10,2021
31648,ri bhoi,0,0,12,0,144,0,0,0,2019
31649,garo hills,0,0,16,0,1148,0,0,9,2018
31650,jaintia hills,0,2,217,0,1996,0,0,0,2017
31651,ri bhoi,0,6,437,0,5659,0,0,0,2019
31652,garo hills,0,66,66,0,177,0,0,0,2015
31653,garo hills,0,2,100,0,4774,0,0,0,2014
31654,khasi hills,1,0,146,100,12600,1,0,92,2020
31655,khasi hills,0,0,54,0,0,0,0,0,2016
31656,khasi hills,0,0,33,0,0,0,0,0,2020
31657,garo hills,0,0,0,0,0,0,0,0,2015
31658,garo hills,0,1,186,0,3852,0,0,0,2021
31659,garo hills,0,0,7,0,694,0,0,1,2019
31660,garo hills,0,4,47,0,4500,0,4,45,2019
31661,ri bhoi,2,10,418,0,0,0,0,0,2019
31662,garo hills,0,0,14,0,1228,0,0,12,2020
31663,garo hills,147,36,224,8874,13840,0,0,0,2018
31664,garo hills,0,0,35,0,3500,0,0,35,2017
31665,khasi hills,0,0,36,0,3456,0,0,0,2018
31666,garo hills,0,2,59,0,1500,0,0,0,2014
31667,khasi hills,0,0,47,0,2949,0,0,1,2020
31668,jaintia hills,0,0,219,0,0,0,0,0,2014
31669,garo hills,0,3,52,0,4161,0,0,17,2018
31670,khasi hills,0,0,353,0,20877,0,0,49,2019
31671,garo hills,0,1,38,0,0,0,0,0,2017
31672,garo hills,0,0,108,0,4690,0,0,0,2017
31673,garo hills,0,0,80,0,6322,0,0,0,2016
31674,jaintia hills,0,1,127,0,1523,0,0,0,2015
